club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
hertha bsc,1 bundesliga,NA,germany,in,adrian ramos,23,colombia,cd america de cali,colombia,CF,attacker,70,76,cd america de cali,liga postobon ii,1,colombia,1.8,0.9,0,11.0,1.0,0.64,4.0,1.0,990,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
hertha bsc,1 bundesliga,1,germany,in,artur wichniarek,32,poland,arminia bielefeld,germany,CF,attacker,78,79,arminia bielefeld,2 bundesliga,2,germany,0.63,2.7,0,32.0,1.0,0.88,14.0,1.0,2769,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
hertha bsc,1 bundesliga,1,germany,in,rasmus bengtsson,23,sweden,trelleborgs ff,sweden,CB,defender,69,78,trelleborgs ff,allsvenskan,1,sweden,0.414,0.9,0,12.0,1.0,1.5,1.0,1.0,1035,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
hertha bsc,1 bundesliga,1,germany,out,josip simunic,31,croatia,hertha bsc,germany,CB,defender,82,84,tsg 1899 hoffenheim,1 bundesliga,1,germany,6.3,8.1,0,36.0,0.97,1.86,1.0,0,3171,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
hertha bsc,1 bundesliga,1,germany,out,ibrahima traore,21,guinea,hertha bsc,germany,RW,attacker,NA,NA,fc augsburg,2 bundesliga,2,germany,0.045,0.113,0,28.0,1.0,1.21,7.0,11.0,2406,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfl bochum,1 bundesliga,1,germany,in,zlatko dedic,24,slovenia,frosinone calcio,italy,CF,attacker,68,78,frosinone calcio,serie b,2,italy,0.72,0.9,0,32.0,0.91,1.41,7.0,1.0,2048,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfl bochum,1 bundesliga,1,germany,in,milos maric,27,serbia,kaa gent,belgium,CM,midfielder,71,74,kaa gent,jupiler pro league,1,belgium,0.36,2.48,0,37.0,1.0,1.68,7.0,4.0,3075,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfl bochum,1 bundesliga,1,germany,in,andreas johansson,27,sweden,halmstads bk,sweden,CB,defender,68,70,halmstads bk,allsvenskan,1,sweden,0.36,0.9,0,12.0,1.0,1.33,3.0,1.0,1068,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfl bochum,1 bundesliga,1,germany,out,shinji ono,30,japan,vfl bochum,germany,AM,midfielder,75,81,shimizu s pulse,j league division 1,1,japan,0.225,1.26,0,10.0,0.45,1.6,0,1.0,490,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfl wolfsburg,1 bundesliga,1,germany,in,obafemi martins,24,nigeria,newcastle united,england,CF,attacker,81,85,newcastle united,championship,2,england,9.45,11.25,0,25.0,1.0,0.96,8.0,2.0,1879,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfl wolfsburg,1 bundesliga,1,germany,in,karim ziani,26,algeria,olympique marseille,france,AM,midfielder,77,84,olympique marseille,ligue 1,1,france,6.3,5.85,0,39.0,0.89,1.82,3.0,3.0,2889,6.0,1.0,0.67,0,0,442,0,0,0,0,0,0,2009/2010
vfl wolfsburg,1 bundesliga,1,germany,in,rever,24,brazil,gremio foot ball porto alegrense,brazil,CB,defender,75,81,gremio foot ball porto alegrense,campeonato brasileiro serie a,1,brazil,4.5,4.95,1644,43.0,1.0,1.7,7.0,2.0,3810,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfl wolfsburg,1 bundesliga,1,germany,in,thomas kahlenberg,26,denmark,aj auxerre,france,CM,midfielder,79,85,aj auxerre,ligue 1,1,france,3.33,4.05,0,37.0,1.0,1.41,5.0,6.0,3105,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfl wolfsburg,1 bundesliga,1,germany,in,fabian johnson,21,united states,tsv 1860 munchen,germany,LW,attacker,NA,NA,tsv 1860 munchen,2 bundesliga,2,germany,0.99,0.9,736,36.0,0.97,1.25,2.0,6.0,3178,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfl wolfsburg,1 bundesliga,1,germany,out,cristian zaccardo,27,italy,vfl wolfsburg,germany,CB,defender,75,81,fc parma,serie a,1,italy,1.8,4.5,0,22.0,0.52,1.77,2.0,0,1163,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfl wolfsburg,1 bundesliga,1,germany,out,cedric makiadi,25,dr congo,vfl wolfsburg,germany,CM,midfielder,NA,NA,sc freiburg,1 bundesliga,1,germany,0.81,1.8,0,35.0,0.97,1.57,16.0,8.0,2874,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfl wolfsburg,1 bundesliga,1,germany,out,ricardo costa,28,portugal,vfl wolfsburg,germany,CB,defender,75,80,osc lille,ligue 1,1,france,0.45,3.15,0,19.0,0.46,1.63,3.0,1.0,1445,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc bayern munchen,1 bundesliga,1,germany,in,mario gomez,23,germany,vfb stuttgart,germany,CF,attacker,85,90,vfb stuttgart,1 bundesliga,1,germany,27.0,27.0,0,44.0,0.98,1.77,35.0,9.0,3774,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc bayern munchen,1 bundesliga,1,germany,in,arjen robben,25,netherlands,real madrid,spain,RW,attacker,85,88,real madrid,primera division,1,spain,22.5,27.0,0,37.0,0.97,1.95,8.0,9.0,2696,6.0,0.86,1.5,1.0,1.0,404,0,0,0,0,0,0,2009/2010
fc bayern munchen,1 bundesliga,1,germany,in,anatoliy tymoshchuk,30,ukraine,zenit st petersburg,russia,DM,midfielder,84,85,zenit st petersburg,premier liga,1,russia,9.9,18.0,0,21.0,0.95,1.43,2.0,0,1654,6.0,1.0,0.83,0,0,540,0,0,0,0,0,0,2009/2010
fc bayern munchen,1 bundesliga,1,germany,in,danijel pranjic,27,croatia,sc heerenveen,netherlands,LB,defender,78,80,sc heerenveen,eredivisie,1,netherlands,6.93,8.1,0,40.0,1.0,1.8,21.0,12.0,3365,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc bayern munchen,1 bundesliga,1,germany,in,edson braafheid,26,netherlands,fc twente enschede,netherlands,LB,defender,75,81,fc twente enschede,eredivisie,1,netherlands,1.8,3.15,0,48.0,0.98,1.88,1.0,2.0,4334,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc bayern munchen,1 bundesliga,1,germany,out,lukas podolski,24,germany,fc bayern munchen,germany,SS,attacker,81,87,1 fc koln,1 bundesliga,1,germany,9.0,10.8,371,31.0,0.91,2.03,9.0,8.0,1849,4.0,0.57,2.5,2.0,1.0,256,0,0,0,0,0,0,2009/2010
fc bayern munchen,1 bundesliga,1,germany,out,lucio,31,brazil,fc bayern munchen,germany,CB,defender,73,77,inter mailand,serie a,1,italy,6.3,16.2,0,44.0,0.98,2.14,2.0,2.0,3842,8.0,1.0,2.25,0,0,651,0,0,0,0,0,0,2009/2010
fc bayern munchen,1 bundesliga,1,germany,out,mats hummels,20,germany,fc bayern munchen,germany,CB,defender,77,85,borussia dortmund,1 bundesliga,1,germany,3.78,3.6,1101,14.0,0.93,1.79,1.0,0,1096,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc bayern munchen,1 bundesliga,1,germany,out,alexander baumjohann,22,germany,fc bayern munchen,germany,AM,midfielder,74,79,fc schalke 04,1 bundesliga,1,germany,0.9,1.8,0,32.0,0.94,1.13,4.0,11.0,2329,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc bayern munchen,1 bundesliga,1,germany,out,tim borowski,29,germany,fc bayern munchen,germany,CM,midfielder,78,82,sv werder bremen,1 bundesliga,1,germany,0.675,4.5,0,35.0,0.8,1.74,7.0,1.0,1285,7.0,0.78,2.14,1.0,0,239,0,0,0,0,0,0,2009/2010
vfb stuttgart,1 bundesliga,1,germany,in,zdravko kuzmanovi%C4%87,21,serbia,ac florenz,italy,CM,midfielder,77,88,ac florenz,serie a,1,italy,7.2,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfb stuttgart,1 bundesliga,1,germany,in,pavel pogrebnyak,25,russia,zenit st petersburg,russia,CF,attacker,81,86,zenit st petersburg,premier liga,1,russia,4.32,8.1,0,26.0,1.0,1.54,7.0,2.0,2061,6.0,1.0,0.83,1.0,0,427,0,0,0,0,0,0,2009/2010
vfb stuttgart,1 bundesliga,1,germany,in,stefano celozzi,20,germany,karlsruher sc,germany,RB,defender,73,81,karlsruher sc,2 bundesliga,2,germany,2.25,1.53,0,30.0,0.86,1.07,0,4.0,2388,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfb stuttgart,1 bundesliga,1,germany,in,alessandro riedle,17,germany,grasshopper club zurich,switzerland,CF,attacker,64,76,grasshopper club zurich,raiffeisen super league,1,switzerland,0.27,0.27,0,31.0,0.97,1.42,13.0,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfb stuttgart,1 bundesliga,1,germany,out,mario gomez,23,germany,vfb stuttgart,germany,CF,attacker,85,90,fc bayern munchen,1 bundesliga,1,germany,27.0,27.0,0,44.0,0.98,1.77,35.0,9.0,3774,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfb stuttgart,1 bundesliga,1,germany,out,thomas hitzlsperger,27,germany,vfb stuttgart,germany,CM,midfielder,78,84,lazio rom,serie a,1,italy,0.495,5.85,0,45.0,0.98,1.84,7.0,11.0,3683,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
vfb stuttgart,1 bundesliga,1,germany,out,jan simak,31,czech republic,vfb stuttgart,germany,AM,midfielder,74,78,1 fsv mainz 05,1 bundesliga,1,germany,0.09,1.35,0,27.0,0.69,2.0,3.0,3.0,1418,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
hamburger sv,1 bundesliga,1,germany,in,marcus berg,22,sweden,fc groningen,netherlands,CF,attacker,77,86,fc groningen,eredivisie,1,netherlands,9.0,7.2,719,38.0,1.0,1.66,26.0,6.0,3350,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
hamburger sv,1 bundesliga,1,germany,in,eljero elia,22,netherlands,fc twente enschede,netherlands,LW,attacker,78,84,fc twente enschede,eredivisie,1,netherlands,8.1,5.4,0,47.0,1.0,1.98,14.0,10.0,4195,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
hamburger sv,1 bundesliga,1,germany,in,david rozehnal,29,czech republic,lazio rom,italy,CB,defender,76,81,lazio rom,serie a,1,italy,5.4,3.6,0,33.0,0.77,1.55,0,0,2839,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
hamburger sv,1 bundesliga,NA,germany,in,ze roberto,34,brazil,nacional montevideo,uruguay,LM,midfielder,84,86,nacional montevideo,primera division clausura,1,uruguay,3.6,4.5,0,42.0,1.0,2.0,7.0,12.0,3425,9.0,1.0,2.0,2.0,2.0,725,0,0,0,0,0,0,2009/2010
hamburger sv,1 bundesliga,1,germany,in,robert tesche,22,germany,arminia bielefeld,germany,CM,midfielder,69,76,arminia bielefeld,2 bundesliga,2,germany,0.9,1.17,0,28.0,0.85,0.86,2.0,3.0,1858,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
