club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
ajax amsterdam,eredivisie,1,netherlands,in,mike van der hoorn,20,netherlands,fc utrecht,netherlands,CB,defender,73,79,fc utrecht,eredivisie,1,netherlands,3.42,2.7,1101,37,0.97,1.76,4,2,3253,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
ajax amsterdam,eredivisie,1,netherlands,in,lerin duarte,23,netherlands,heracles almelo,netherlands,CM,midfielder,72,78,heracles almelo,eredivisie,1,netherlands,2.7,2.03,307,35,1.0,1.17,6,6,2905,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
ajax amsterdam,eredivisie,1,netherlands,out,christian eriksen,21,denmark,ajax amsterdam,netherlands,AM,midfielder,81,87,tottenham hotspur,premier league,1,england,12.74,16.2,310,46,1.0,2.04,13,22,3944,6,1.0,0.67,1,4,540,2,1.0,1.5,0,1,210,2013/2014
ajax amsterdam,eredivisie,1,netherlands,out,toby alderweireld,24,belgium,ajax amsterdam,netherlands,CB,defender,78,82,atletico madrid,primera division,1,spain,6.3,9.0,0,45,0.96,1.91,4,2,3964,6,1.0,0.67,0,0,540,2,1.0,1.5,1,0,210,2013/2014
ajax amsterdam,eredivisie,1,netherlands,out,derk boerrigter,26,netherlands,ajax amsterdam,netherlands,LW,attacker,72,74,celtic glasgow,scottish premiership,1,scotland,2.25,2.93,0,46,0.96,2.07,6,5,2636,6,1.0,0.67,1,0,434,2,1.0,1.5,0,0,58,2013/2014
ajax amsterdam,eredivisie,1,netherlands,out,dico koppers,21,netherlands,ajax amsterdam,netherlands,LB,defender,65,72,fc twente enschede,eredivisie,1,netherlands,0.72,0.36,712,28,0.9,1.32,0,0,2217,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
psv eindhoven,eredivisie,1,netherlands,in,adam maher,19,netherlands,az alkmaar,netherlands,CM,midfielder,77,86,az alkmaar,eredivisie,1,netherlands,7.2,8.1,0,39,1.0,1.41,10,10,3403,0,0,0,0,0,0,2,1.0,0,0,0,180,2013/2014
psv eindhoven,eredivisie,1,netherlands,in,jeffrey bruma,21,netherlands,fc chelsea,england,CB,defender,71,77,fc chelsea,premier league,1,england,3.15,2.03,358,22,0.73,1.23,2,1,1347,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
psv eindhoven,eredivisie,1,netherlands,in,stijn schaars,29,netherlands,sporting lissabon,portugal,DM,midfielder,76,78,sporting lissabon,primeira liga,1,portugal,0.765,4.5,358,16,0.84,1.19,0,3,982,0,0,0,0,0,0,4,1.0,0.5,0,1,251,2013/2014
psv eindhoven,eredivisie,1,netherlands,in,santiago arias,21,colombia,sporting lissabon,portugal,RB,defender,69,82,sporting lissabon,primeira liga,1,portugal,0.608,1.35,0,30,0.91,1.3,1,5,2506,0,0,0,0,0,0,0,0,0,0,0,0,2013/2014
