club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
fc girondins bordeaux,ligue 1,1,france,in,yoann gourcuff,22,france,ac mailand,italy,AM,midfielder,85,92,ac mailand,serie a,1,italy,12.15,16.65,0,49,0.96,2.02,15,14,4138,6,1.0,1.17,2,2,540,0,0,0,0,0,0,2009/2010
fc girondins bordeaux,ligue 1,1,france,in,cedric carrasso,27,france,fc toulouse,france,GK,keeper,81,85,fc toulouse,ligue 1,1,france,7.2,5.4,0,43,1.0,1.7,0,0,3960,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc girondins bordeaux,ligue 1,1,france,in,michael ciani,25,france,fc lorient,france,CB,defender,76,83,fc lorient,ligue 1,1,france,3.6,2.7,0,31,1.0,1.39,4,0,2746,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc girondins bordeaux,ligue 1,1,france,in,jaroslav plasil,27,czech republic,ca osasuna,spain,CM,midfielder,77,83,ca osasuna,primera division,1,spain,2.7,3.6,0,32,1.0,1.22,4,7,2678,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
fc girondins bordeaux,ligue 1,1,france,out,souleymane diawara,30,senegal,fc girondins bordeaux,france,CB,defender,82,84,olympique marseille,ligue 1,1,france,5.85,6.75,0,49,0.96,1.96,3,1,4436,6,1.0,1.17,0,0,540,0,0,0,0,0,0,2009/2010
fc girondins bordeaux,ligue 1,1,france,out,gabriel obertan,20,france,fc girondins bordeaux,france,AM,midfielder,68,83,manchester united,premier league,1,england,3.6,2.7,0,36,0.78,1.44,4,0,1317,5,1.0,1.4,0,0,154,0,0,0,0,0,0,2009/2010
fc girondins bordeaux,ligue 1,1,france,out,mathieu valverde,26,france,fc girondins bordeaux,france,GK,keeper,72,75,us boulogne,ligue 1,1,france,0.45,1.44,0,22,0.43,2.0,0,0,1796,3,0.5,1.33,0,0,270,0,0,0,0,0,0,2009/2010
as monaco,ligue 1,1,france,in,mathieu coutadeur,23,france,fc le mans,france,CM,midfielder,76,84,fc le mans,ligue 1,1,france,3.6,4.5,0,40,1.0,1.13,4,2,3278,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
as monaco,ligue 1,1,france,in,eduardo costa,26,brazil,fc sao paulo,brazil,DM,midfielder,71,76,fc sao paulo,campeonato brasileiro serie a,1,brazil,2.25,1.35,0,16,0.89,1.38,0,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
as monaco,ligue 1,1,france,in,eidur gudjohnsen,30,iceland,fc barcelona,spain,CF,attacker,75,82,fc barcelona,primera division,1,spain,1.8,6.3,0,34,0.64,2.12,4,4,1537,4,0.36,1.75,0,2,111,0,0,0,0,0,0,2009/2010
as monaco,ligue 1,1,france,out,djamel bakar,20,comoros,as monaco,france,CF,attacker,NA,NA,as nancy lorraine,ligue 1,1,france,2.25,0.72,0,7,1.0,0.57,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
as monaco,ligue 1,1,france,out,nikola pokrivac,23,croatia,as monaco,france,DM,midfielder,68,75,red bull salzburg,bundesliga,1,austria,1.8,1.8,0,27,0.71,1.33,3,1,1745,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
as monaco,ligue 1,1,france,out,bolivar,28,brazil,as monaco,france,CB,defender,74,78,sc internacional porto alegre,campeonato brasileiro serie a,1,brazil,1.35,2.52,0,34,0.97,1.74,0,0,3014,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
as monaco,ligue 1,1,france,out,torben joneleit,22,germany,as monaco,france,CB,defender,62,70,rsc charleroi,jupiler pro league,1,belgium,0.068,0.585,0,13,1.0,1.46,1,0,1125,0,0,0,0,0,0,0,0,0,0,0,0,2009/2010
