club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
manchester city,premier league,1,england,in,rodri,23,spain,atletico madrid,spain,DM,midfielder,83,88,atletico madrid,primera division,1,spain,63.0,72.0,1462,47,0.94,2.04,3,1,3675,8,1.0,2.0,0,0,605,0,0,0,0,0,0,2019/2020
manchester city,premier league,1,england,in,joao cancelo,25,portugal,juventus turin,italy,RB,defender,83,88,juventus turin,serie a,1,italy,58.5,49.5,1428,34,0.79,2.12,1,5,2599,7,0.78,1.86,0,3,479,0,0,0,0,0,0,2019/2020
manchester city,premier league,1,england,in,angelino,22,spain,psv eindhoven,netherlands,LB,defender,79,84,psv eindhoven,eredivisie,1,netherlands,10.8,14.4,1463,43,0.98,2.12,1,12,3890,6,1.0,0.33,0,1,540,0,0,0,0,0,0,2019/2020
manchester city,premier league,1,england,in,pedro porro,19,spain,fc girona,spain,RB,defender,73,86,fc girona,segunda division,2,spain,10.8,9.0,1427,34,0.85,1.03,1,4,2392,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
manchester city,premier league,1,england,in,zack steffen,24,united states,columbus crew,united states,GK,keeper,76,84,columbus crew,major league soccer,1,united states,6.14,4.5,0,13,1.0,1.31,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
manchester city,premier league,1,england,in,ryotaro meshino,21,japan,gamba osaka,japan,AM,midfielder,60,69,gamba osaka,j league division 1,1,japan,0.9,0.45,178,25,0.93,1.56,13,2,1525,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
manchester city,premier league,1,england,out,danilo,28,brazil,manchester city,england,RB,defender,79,79,juventus turin,serie a,1,italy,33.3,18.0,1793,22,0.52,2.73,1,1,1479,2,0.4,3.0,0,0,119,0,0,0,0,0,0,2019/2020
manchester city,premier league,1,england,out,douglas luiz,21,brazil,manchester city,england,CM,midfielder,74,84,aston villa,premier league,1,england,15.12,2.25,1076,29,0.91,0.93,0,0,1958,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
manchester city,premier league,1,england,out,fabian delph,29,england,manchester city,england,CM,midfielder,78,78,fc everton,premier league,1,england,8.55,13.5,356,20,0.71,2.15,0,1,1219,6,1.0,1.67,0,0,257,0,0,0,0,0,0,2019/2020
manchester city,premier league,1,england,out,manu garcia,21,spain,manchester city,england,AM,midfielder,73,84,sporting gijon,segunda division,2,spain,3.6,4.5,352,34,0.85,1.12,2,4,2036,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
manchester city,premier league,1,england,out,pablo mari,25,spain,manchester city,england,CB,defender,71,76,flamengo rio de janeiro,campeonato brasileiro serie a,1,brazil,1.53,0.72,360,66,0.93,1.89,5,1,5777,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc liverpool,premier league,1,england,in,takumi minamino,24,japan,red bull salzburg,austria,LW,attacker,73,80,red bull salzburg,bundesliga,1,austria,7.65,11.25,549,45,0.92,2.51,14,10,2535,0,0,0,0,0,0,10,1.0,2.4,4,2,396,2019/2020
fc liverpool,premier league,1,england,in,sepp van den berg,17,netherlands,pec zwolle,netherlands,CB,defender,66,84,pec zwolle,eredivisie,1,netherlands,1.71,1.8,371,20,0.57,1.1,0,0,1305,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc liverpool,premier league,1,england,out,danny ings,26,england,fc liverpool,england,CF,attacker,76,77,fc southampton,premier league,1,england,19.98,13.5,371,25,0.93,1.24,8,3,1756,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc liverpool,premier league,1,england,out,ryan kent,22,england,fc liverpool,england,LW,attacker,73,84,glasgow rangers,scottish premiership,1,scotland,6.48,1.58,1037,43,0.96,1.93,6,10,3438,0,0,0,0,0,0,3,1.0,1.67,0,0,270,2019/2020
fc liverpool,premier league,1,england,out,simon mignolet,31,belgium,fc liverpool,england,GK,keeper,78,78,fc brugge,jupiler pro league,1,belgium,6.3,7.2,700,2,0.04,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc chelsea,premier league,1,england,in,mateo kovacic,25,croatia,real madrid,spain,CM,midfielder,82,86,real madrid,primera division,1,spain,40.5,31.5,736,51,0.89,2.18,0,2,3117,0,0,0,0,0,0,12,0.92,2.83,0,0,915,2019/2020
fc chelsea,premier league,1,england,out,eden hazard,28,belgium,fc chelsea,england,LW,attacker,91,91,real madrid,primera division,1,spain,90.0,135.0,371,52,0.95,1.98,21,17,3878,0,0,0,0,0,0,8,0.73,2.75,2,2,451,2019/2020
fc chelsea,premier league,1,england,out,ola aina,22,nigeria,fc chelsea,england,RB,defender,74,83,fc turin,serie a,1,italy,9.0,9.0,736,32,0.94,1.63,1,3,2265,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc chelsea,premier league,1,england,out,tomas kalas,26,czech republic,fc chelsea,england,CB,defender,72,76,bristol city,championship,2,england,8.1,3.6,736,41,1.0,1.61,0,0,3610,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc chelsea,premier league,1,england,out,david luiz,32,brazil,fc chelsea,england,CB,defender,83,83,fc arsenal,premier league,1,england,7.83,18.0,697,50,0.86,2.0,3,2,4339,0,0,0,0,0,0,6,0.6,2.67,0,0,570,2019/2020
fc chelsea,premier league,1,england,out,michael hector,27,jamaica,fc chelsea,england,CB,defender,71,74,fc fulham,championship,2,england,5.31,2.7,184,39,0.93,1.49,2,0,3422,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc chelsea,premier league,1,england,out,kenneth omeruo,25,nigeria,fc chelsea,england,CB,defender,73,80,cd leganes,primera division,1,spain,4.5,4.5,327,31,0.89,1.32,0,0,2704,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,in,tanguy ndombele,22,france,olympique lyon,france,CM,midfielder,81,89,olympique lyon,ligue 1,1,france,54.0,58.5,1464,49,0.94,1.8,3,8,3878,8,1.0,1.13,2,0,637,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,in,steven bergwijn,22,netherlands,psv eindhoven,netherlands,LW,attacker,81,87,psv eindhoven,eredivisie,1,netherlands,27.0,31.5,1251,41,1.0,2.12,15,13,3517,5,1.0,0.2,0,1,404,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,in,ryan sessegnon,19,england,fc fulham,england,LM,midfielder,58,77,fc fulham,championship,2,england,24.3,31.5,332,38,0.97,0.74,2,6,2490,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,in,jack clarke,18,england,leeds united,england,RW,attacker,65,82,leeds united,championship,2,england,9.9,5.4,734,25,0.74,1.32,2,2,894,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
tottenham hotspur,premier league,1,england,out,kieran trippier,28,england,tottenham hotspur,england,RB,defender,81,81,atletico madrid,primera division,1,spain,19.8,31.5,1084,38,0.88,1.87,1,5,3174,8,0.89,1.25,0,2,626,0,0,0,0,0,0,2019/2020
