club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
benfica lissabon,primeira liga,1,portugal,in,raul jimenez,24,mexico,atletico madrid,spain,CF,attacker,74,80,atletico madrid,primera division,1,spain,19.8,4.5,1422,32,0.73,2.16,5,4,1095,1,0.2,3.0,0,0,54,0,0,0,0,0,0,2015/2016
benfica lissabon,primeira liga,1,portugal,in,luka jovic,18,serbia,apollon limassol,cyprus,CF,attacker,NA,NA,apollon limassol,division a,1,cyprus,5.94,1.58,0,24,0.92,2.0,6,2,1294,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
benfica lissabon,primeira liga,1,portugal,in,mehdi carcela gonzalez,26,morocco,standard luttich,belgium,RW,attacker,73,75,standard luttich,jupiler pro league,1,belgium,2.25,3.15,371,23,1.0,1.96,3,2,1772,0,0,0,0,0,0,1,1.0,3.0,0,0,56,2015/2016
benfica lissabon,primeira liga,1,portugal,in,alejandro grimaldo,20,spain,fc barcelona b,spain,LB,defender,68,82,fc barcelona b,segunda division b grupo iii,3,spain,1.89,1.8,184,36,1.0,0.92,4,4,3027,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
benfica lissabon,primeira liga,NA,portugal,in,jhon murillo,19,venezuela,zamora fc,venezuela,LW,attacker,NA,NA,zamora fc,NA,1,venezuela,0.675,-,0,4,1.0,0,2,0,309,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
benfica lissabon,primeira liga,1,portugal,in,ederson,21,brazil,rio ave fc,portugal,GK,keeper,71,79,rio ave fc,primeira liga,1,portugal,0.45,0.54,1466,28,0.51,1.14,0,0,2520,0,0,0,0,0,0,2,0.25,0.5,0,0,180,2015/2016
benfica lissabon,primeira liga,1,portugal,in,diego lopes,21,brazil,rio ave fc,portugal,AM,midfielder,73,80,rio ave fc,primeira liga,1,portugal,0.09,2.7,1101,49,0.96,1.33,9,9,3351,0,0,0,0,0,0,7,0.88,0.57,2,0,479,2015/2016
benfica lissabon,primeira liga,1,portugal,out,andre gomes,21,portugal,benfica lissabon,portugal,CM,midfielder,76,83,fc valencia,primera division,1,spain,18.0,13.5,371,37,0.97,1.95,4,1,2766,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
benfica lissabon,primeira liga,1,portugal,out,ivan cavaleiro,21,portugal,benfica lissabon,portugal,RW,attacker,73,84,as monaco,ligue 1,1,france,13.5,3.15,1091,34,0.94,0.85,3,3,2387,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
benfica lissabon,primeira liga,1,portugal,out,joao cancelo,21,portugal,benfica lissabon,portugal,RB,defender,70,78,fc valencia,primera division,1,spain,13.5,1.8,1101,13,0.37,2.08,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
benfica lissabon,primeira liga,1,portugal,out,lima,32,brazil,benfica lissabon,portugal,CF,attacker,78,78,al ahli club,uae arabian gulf league,1,united arab emirates,6.3,7.2,347,50,0.94,2.2,23,8,4108,6,1.0,0.83,0,0,388,0,0,0,0,0,0,2015/2016
benfica lissabon,primeira liga,1,portugal,out,sidnei,25,brazil,benfica lissabon,portugal,CB,defender,72,75,deportivo la coruna,primera division,1,spain,5.85,2.7,348,32,1.0,0.84,0,3,2880,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
benfica lissabon,primeira liga,1,portugal,out,rogelio funes mori,24,argentina,benfica lissabon,portugal,CF,attacker,70,75,cf monterrey,liga mx clausura,1,mexico,3.24,3.83,1101,36,1.0,1.47,14,8,2970,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
benfica lissabon,primeira liga,1,portugal,out,miralem sulejmani,26,serbia,benfica lissabon,portugal,LW,attacker,73,75,bsc young boys,raiffeisen super league,1,switzerland,2.7,2.97,1101,8,0.53,3.0,0,1,356,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
benfica lissabon,primeira liga,1,portugal,out,loris benito,23,switzerland,benfica lissabon,portugal,LB,defender,67,76,bsc young boys,raiffeisen super league,1,switzerland,2.7,2.25,1466,9,0.45,2.22,0,0,656,1,0.33,1.0,0,0,90,0,0,0,0,0,0,2015/2016
fc porto,primeira liga,1,portugal,in,giannelli imbula,22,dr congo,olympique marseille,france,DM,midfielder,NA,NA,olympique marseille,ligue 1,1,france,18.0,10.8,1101,39,1.0,1.77,2,3,3386,0,0,0,0,0,0,0,0,0,0,0,0,2015/2016
