club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
fc barcelona,primera division,1,spain,in,antoine griezmann,28,france,atletico madrid,spain,LW,attacker,89,89,atletico madrid,primera division,1,spain,108.0,117.0,1452,48,1.0,1.96,21,10,4068,8,1.0,2.0,4,2,720,0,0,0,0,0,0,2019/2020
fc barcelona,primera division,1,spain,in,frenkie de jong,22,netherlands,ajax amsterdam,netherlands,CM,midfielder,84,90,ajax amsterdam,eredivisie,1,netherlands,67.5,76.5,1101,52,0.95,2.38,4,4,4411,11,1.0,1.91,0,0,986,0,0,0,0,0,0,2019/2020
fc barcelona,primera division,1,spain,in,neto,29,brazil,fc valencia,spain,GK,keeper,84,85,fc valencia,primera division,1,spain,23.4,16.2,736,47,0.78,1.57,0,0,4230,5,0.83,1.0,0,0,450,8,1.0,2.0,0,0,720,2019/2020
fc barcelona,primera division,1,spain,in,martin braithwaite,28,denmark,cd leganes,spain,CF,attacker,75,75,cd leganes,primera division,1,spain,16.2,9.0,1229,40,0.93,1.43,8,7,2833,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc barcelona,primera division,1,spain,in,junior firpo,22,spain,real betis sevilla,spain,LB,defender,78,85,real betis sevilla,primera division,1,spain,16.2,22.5,1431,29,0.85,1.52,3,5,2314,0,0,0,0,0,0,4,0.67,2.0,0,1,297,2019/2020
fc barcelona,primera division,1,spain,in,emerson,20,brazil,atletico mineiro,brazil,RB,defender,NA,NA,atletico mineiro,campeonato brasileiro serie a,1,brazil,10.8,2.7,1281,7,0.54,1.0,0,0,317,0,0,0,0,0,0,1,1.0,0,0,0,1,2019/2020
fc barcelona,primera division,1,spain,in,marc cucurella,20,spain,sd eibar,spain,LM,midfielder,75,84,sd eibar,primera division,1,spain,3.6,9.0,0,33,0.89,1.15,2,2,2536,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
fc barcelona,primera division,1,spain,out,malcom,22,brazil,fc barcelona,spain,RW,attacker,82,89,zenit st petersburg,premier liga,1,russia,36.0,36.0,1433,24,0.53,1.54,4,2,1067,3,0.33,1.33,1,0,39,0,0,0,0,0,0,2019/2020
fc barcelona,primera division,1,spain,out,jasper cillessen,30,netherlands,fc barcelona,spain,GK,keeper,82,83,fc valencia,primera division,1,spain,31.5,16.2,736,11,0.22,1.55,0,0,990,1,0.1,1.0,0,0,90,0,0,0,0,0,0,2019/2020
fc barcelona,primera division,1,spain,out,andre gomes,25,portugal,fc barcelona,spain,CM,midfielder,80,83,fc everton,premier league,1,england,22.5,25.2,736,29,1.0,1.31,1,2,2120,0,0,0,0,0,0,0,0,0,0,0,0,2019/2020
