club,club_league,club_league_tier,club_country,transfer_movement,player_name,player_age,player_nationality,player_club,player_club_country,player_position,player_position_category,player_rating,player_potential,club_involved,club_involved_league,club_involved_league_tier,club_involved_country,transfer_fee,market_value,remaining_contract_duration,total_apps,total_apps_ratio,total_minutes_per_point,total_goals,total_assists,total_minutes_played,ucl_apps,ucl_apps_ratio,ucl_minutes_per_point,ucl_goals,ucl_assists,ucl_minutes_played,el_apps,el_apps_ratio,el_minutes_per_point,el_goals,el_assists,el_minutes_played,season
juventus turin,serie a,1,italy,in,cristiano ronaldo,33,portugal,real madrid,spain,LW,attacker,94,94,real madrid,primera division,1,spain,105.3,90,1091,44,1,2.14,44,8,3678,13,1,2.23,15,3,1170,0,0,0,0,0,0,2018/2019
as rom,serie a,1,italy,out,alisson,25,brazil,as rom,italy,GK,keeper,84,90,fc liverpool,premier league,1,england,56.25,54,1082,49,0.98,1.92,0,0,4410,12,1,1.67,0,0,1080,0,0,0,0,0,0,2018/2019
ssc neapel,serie a,1,italy,out,jorginho,26,italy,ssc neapel,italy,DM,midfielder,82,85,fc chelsea,premier league,1,england,51.3,45,722,39,0.8,2.33,4,4,3100,2,0.33,1.5,1,0,162,1,0.5,3,0,0,8,2018/2019
juventus turin,serie a,1,italy,in,joao cancelo,24,portugal,fc valencia,spain,RB,defender,79,86,fc valencia,primera division,1,spain,36.36,31.5,1101,29,0.83,1.76,1,4,2178,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
juventus turin,serie a,1,italy,in,douglas costa,27,brazil,fc bayern munchen,germany,RW,attacker,84,84,fc bayern munchen,1 bundesliga,1,germany,36,49.5,736,47,0.89,2.32,6,13,2912,10,1,1.8,0,1,719,0,0,0,0,0,0,2018/2019
ac mailand,serie a,1,italy,in,lucas paqueta,21,brazil,flamengo rio de janeiro,brazil,AM,midfielder,NA,NA,flamengo rio de janeiro,campeonato brasileiro serie a,1,brazil,34.56,13.5,734,39,1,1.87,10,4,3377,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
inter mailand,serie a,1,italy,in,radja nainggolan,30,belgium,as rom,italy,AM,midfielder,86,86,as rom,serie a,1,italy,34.2,40.5,1101,42,0.93,1.88,6,11,3580,11,1,1.82,2,2,959,0,0,0,0,0,0,2018/2019
lazio rom,serie a,1,italy,out,felipe anderson,25,brazil,lazio rom,italy,LW,attacker,81,84,west ham united,premier league,1,england,34.2,27,721,32,0.91,1.59,8,9,1760,0,0,0,0,0,0,7,1,1.43,3,3,370,2018/2019
as rom,serie a,1,italy,out,radja nainggolan,30,belgium,as rom,italy,AM,midfielder,86,86,inter mailand,serie a,1,italy,34.2,40.5,1101,42,0.93,1.88,6,11,3580,11,1,1.82,2,2,959,0,0,0,0,0,0,2018/2019
fc genua 1893,serie a,1,italy,out,krzysztof piatek,23,poland,fc genua 1893,italy,CF,attacker,68,74,ac mailand,serie a,1,italy,31.5,13.5,1257,38,1,1.37,21,4,3279,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
juventus turin,serie a,1,italy,in,leonardo bonucci,31,italy,ac mailand,italy,CB,defender,86,86,ac mailand,serie a,1,italy,31.5,31.5,1433,51,0.98,1.82,2,1,4501,0,0,0,0,0,0,9,0.9,1.89,0,1,726,2018/2019
juventus turin,serie a,1,italy,out,mattia caldara,24,italy,juventus turin,italy,CB,defender,79,87,ac mailand,serie a,1,italy,31.5,22.5,1433,34,0.77,1.76,3,2,2917,0,0,0,0,0,0,8,1,1.88,0,2,577,2018/2019
ac mailand,serie a,1,italy,in,mattia caldara,24,italy,juventus turin,italy,CB,defender,79,87,juventus turin,serie a,1,italy,31.5,22.5,1433,34,0.77,1.76,3,2,2917,0,0,0,0,0,0,8,1,1.88,0,2,577,2018/2019
ac mailand,serie a,1,italy,in,krzysztof piatek,23,poland,fc genua 1893,italy,CF,attacker,68,74,fc genua 1893,serie a,1,italy,31.5,13.5,1257,38,1,1.37,21,4,3279,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ac mailand,serie a,1,italy,out,leonardo bonucci,31,italy,ac mailand,italy,CB,defender,86,86,juventus turin,serie a,1,italy,31.5,31.5,1433,51,0.98,1.82,2,1,4501,0,0,0,0,0,0,9,0.9,1.89,0,1,726,2018/2019
ssc neapel,serie a,1,italy,in,fabian ruiz,22,spain,real betis sevilla,spain,CM,midfielder,77,83,real betis sevilla,primera division,1,spain,27,18,1826,35,0.95,1.63,3,6,2753,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
as rom,serie a,1,italy,in,patrik schick,22,czech republic,uc sampdoria,italy,CF,attacker,77,87,uc sampdoria,serie a,1,italy,26.1,18,736,26,0.72,1.69,3,0,1281,3,0.43,2,0,0,207,0,0,0,0,0,0,2018/2019
uc sampdoria,serie a,1,italy,out,patrik schick,22,czech republic,uc sampdoria,italy,CF,attacker,77,87,as rom,serie a,1,italy,26.1,18,736,26,0.72,1.69,3,0,1281,3,0.43,2,0,0,207,0,0,0,0,0,0,2018/2019
uc sampdoria,serie a,1,italy,out,lucas torreira,22,uruguay,uc sampdoria,italy,DM,midfielder,78,85,fc arsenal,premier league,1,england,25.79,27,1456,38,0.95,1.42,4,1,3319,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
as rom,serie a,1,italy,in,steven nzonzi,29,france,fc sevilla,spain,DM,midfielder,83,83,fc sevilla,primera division,1,spain,23.99,27,691,44,0.96,1.75,1,2,3693,8,1,1.63,0,0,675,0,0,0,0,0,0,2018/2019
inter mailand,serie a,1,italy,in,lautaro martinez,20,argentina,racing club de avellaneda,argentina,CF,attacker,76,89,racing club de avellaneda,primera division,1,argentina,22.5,22.5,732,27,1,1.78,18,5,2303,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
as rom,serie a,1,italy,out,kevin strootman,28,netherlands,as rom,italy,DM,midfielder,83,83,olympique marseille,ligue 1,1,france,22.5,25.2,1407,44,0.94,1.84,1,1,3174,11,1,1.55,0,1,839,0,0,0,0,0,0,2018/2019
as rom,serie a,1,italy,in,javier pastore,29,argentina,fc paris saint germain,france,AM,midfielder,83,83,fc paris saint germain,ligue 1,1,france,22.23,13.5,371,37,0.86,2.46,5,6,1850,3,0.5,2,0,0,68,0,0,0,0,0,0,2018/2019
fc bologna,serie a,1,italy,out,simone verdi,25,italy,fc bologna,italy,RW,attacker,81,83,ssc neapel,serie a,1,italy,22.05,22.5,1101,35,0.97,0.94,10,10,2843,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ssc neapel,serie a,1,italy,in,simone verdi,25,italy,fc bologna,italy,RW,attacker,81,83,fc bologna,serie a,1,italy,22.05,22.5,1101,35,0.97,0.94,10,10,2843,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ac florenz,serie a,1,italy,out,nikola kalinic,30,croatia,ac florenz,italy,CF,attacker,79,79,ac mailand,serie a,1,italy,20.25,12.6,371,41,0.91,1.54,6,4,2235,0,0,0,0,0,0,6,0.75,1.33,0,1,184,2018/2019
ac mailand,serie a,1,italy,in,nikola kalinic,30,croatia,ac florenz,italy,CF,attacker,79,79,ac florenz,serie a,1,italy,20.25,12.6,371,41,0.91,1.54,6,4,2235,0,0,0,0,0,0,6,0.75,1.33,0,1,184,2018/2019
inter mailand,serie a,1,italy,out,geoffrey kondogbia,25,central african republic,inter mailand,italy,CM,midfielder,NA,NA,fc valencia,primera division,1,spain,19.8,27,1101,36,1,1.81,4,4,3053,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ac mailand,serie a,1,italy,in,samu castillejo,23,spain,fc villarreal,spain,RW,attacker,80,85,fc villarreal,primera division,1,spain,19.17,13.5,688,38,0.97,1.68,6,8,2481,0,0,0,0,0,0,5,1,1,0,0,220,2018/2019
juventus turin,serie a,1,italy,out,rolando mandragora,21,italy,juventus turin,italy,DM,midfielder,72,85,udinese calcio,serie a,1,italy,18,9,1075,37,0.95,1.03,2,1,3259,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ssc neapel,serie a,1,italy,out,marek hamsik,31,slovakia,ssc neapel,italy,CM,midfielder,87,87,dalian aerbin,chinese super league,1,china,18,27,505,49,0.98,2.16,7,3,3162,6,1,1,0,1,466,2,1,1.5,0,0,119,2018/2019
udinese calcio,serie a,1,italy,in,rolando mandragora,21,italy,juventus turin,italy,DM,midfielder,72,85,juventus turin,serie a,1,italy,18,9,1075,37,0.95,1.03,2,1,3259,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ssc neapel,serie a,1,italy,out,duvan zapata,27,colombia,ssc neapel,italy,CF,attacker,78,79,uc sampdoria,serie a,1,italy,16.65,18,736,32,0.94,1.31,11,4,2205,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
uc sampdoria,serie a,1,italy,in,duvan zapata,27,colombia,ssc neapel,italy,CF,attacker,78,79,ssc neapel,serie a,1,italy,16.65,18,736,32,0.94,1.31,11,4,2205,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
as rom,serie a,1,italy,in,justin kluivert,19,netherlands,ajax amsterdam,netherlands,LW,attacker,75,86,ajax amsterdam,eredivisie,1,netherlands,15.53,13.5,371,36,0.9,2.08,11,5,2719,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
lazio rom,serie a,1,italy,in,joaquin correa,23,argentina,fc sevilla,spain,SS,attacker,77,84,fc sevilla,primera division,1,spain,13.77,9,1069,39,0.78,1.9,7,7,2606,8,0.89,1.38,1,3,626,0,0,0,0,0,0,2018/2019
as rom,serie a,1,italy,in,gregoire defrel,27,martinique,us sassuolo,italy,CF,attacker,NA,NA,us sassuolo,serie a,1,italy,13.5,9,736,20,0.77,1.55,1,0,644,5,1,0.8,0,0,166,0,0,0,0,0,0,2018/2019
us sassuolo,serie a,1,italy,out,gregoire defrel,27,martinique,us sassuolo,italy,CF,attacker,NA,NA,as rom,serie a,1,italy,13.5,9,736,20,0.77,1.55,1,0,644,5,1,0.8,0,0,166,0,0,0,0,0,0,2018/2019
fc genua 1893,serie a,1,italy,out,diego laxalt,25,uruguay,fc genua 1893,italy,LM,midfielder,78,81,ac mailand,serie a,1,italy,13.41,16.2,1418,34,0.89,1.26,4,3,3020,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ac mailand,serie a,1,italy,in,diego laxalt,25,uruguay,fc genua 1893,italy,LM,midfielder,78,81,fc genua 1893,serie a,1,italy,13.41,16.2,1418,34,0.89,1.26,4,3,3020,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ac mailand,serie a,1,italy,out,nikola kalinic,30,croatia,ac mailand,italy,CF,attacker,79,79,atletico madrid,primera division,1,spain,13.05,12.6,1061,41,0.91,1.54,6,4,2235,0,0,0,0,0,0,6,0.75,1.33,0,1,184,2018/2019
fc genua 1893,serie a,1,italy,out,mattia perin,25,italy,fc genua 1893,italy,GK,keeper,84,89,juventus turin,serie a,1,italy,12.78,14.4,371,38,0.97,1.16,0,0,3450,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
juventus turin,serie a,1,italy,in,mattia perin,25,italy,fc genua 1893,italy,GK,keeper,84,89,fc genua 1893,serie a,1,italy,12.78,14.4,371,38,0.97,1.16,0,0,3450,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
inter mailand,serie a,1,italy,out,jeison murillo,26,colombia,inter mailand,italy,CB,defender,80,84,fc valencia,primera division,1,spain,10.8,13.5,736,17,0.71,2.35,0,0,1374,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ac mailand,serie a,1,italy,out,mbaye niang,23,senegal,ac mailand,italy,CF,attacker,77,83,fc turin,serie a,1,italy,10.8,9,371,31,0.89,1.23,4,3,1925,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ssc neapel,serie a,1,italy,in,kevin malcuit,27,france,osc lille,france,RB,defender,75,76,osc lille,ligue 1,1,france,10.8,6.75,1427,25,0.96,1.24,0,5,1932,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc turin,serie a,1,italy,in,mbaye niang,23,senegal,ac mailand,italy,CF,attacker,77,83,ac mailand,serie a,1,italy,10.8,9,371,31,0.89,1.23,4,3,1925,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
uc sampdoria,serie a,1,italy,in,manolo gabbiadini,27,italy,fc southampton,england,CF,attacker,78,80,fc southampton,premier league,1,england,10.71,9,904,33,0.75,1,5,0,1206,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc turin,serie a,1,italy,in,soualiho meite,24,france,as monaco,france,CM,midfielder,75,78,as monaco,ligue 1,1,france,10.35,7.2,1456,22,0.85,1.73,1,2,1598,1,0.33,0,0,0,66,0,0,0,0,0,0,2018/2019
fc genua 1893,serie a,1,italy,in,gianluca lapadula,28,italy,ac mailand,italy,CF,attacker,76,76,ac mailand,serie a,1,italy,9.9,6.3,1053,29,0.85,1.03,6,0,1514,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ac mailand,serie a,1,italy,out,gianluca lapadula,28,italy,ac mailand,italy,CF,attacker,76,76,fc genua 1893,serie a,1,italy,9.9,6.3,1053,29,0.85,1.03,6,0,1514,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
lazio rom,serie a,1,italy,in,francesco acerbi,30,italy,us sassuolo,italy,CB,defender,81,81,us sassuolo,serie a,1,italy,9.45,9,1455,41,1,1.2,0,1,3690,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
us sassuolo,serie a,1,italy,out,francesco acerbi,30,italy,us sassuolo,italy,CB,defender,81,81,lazio rom,serie a,1,italy,9.45,9,1455,41,1,1.2,0,1,3690,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
fc turin,serie a,1,italy,out,antonio barreca,23,italy,fc turin,italy,LB,defender,75,81,as monaco,ligue 1,1,france,9,3.15,361,10,0.34,0.9,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
ac florenz,serie a,1,italy,in,german pezzella,27,argentina,real betis sevilla,spain,CB,defender,79,81,real betis sevilla,primera division,1,spain,8.78,11.7,1101,35,0.97,1.54,1,0,3070,0,0,0,0,0,0,0,0,0,0,0,0,2018/2019
